"food","size","gender","lake"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"invert",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"rep",">2.3","m","oklawaha"
"fish","<2.3","f","oklawaha"
"fish","<2.3","f","oklawaha"
"fish","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"invert","<2.3","f","oklawaha"
"rep","<2.3","f","oklawaha"
"other","<2.3","f","oklawaha"
"other","<2.3","f","oklawaha"
"invert",">2.3","f","oklawaha"
"bird",">2.3","f","oklawaha"
"fish","<2.3","m","trafford"
"fish","<2.3","m","trafford"
"fish","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"invert","<2.3","m","trafford"
"rep","<2.3","m","trafford"
"other","<2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"fish",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"invert",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"rep",">2.3","m","trafford"
"bird",">2.3","m","trafford"
"bird",">2.3","m","trafford"
"bird",">2.3","m","trafford"
"other",">2.3","m","trafford"
"other",">2.3","m","trafford"
"other",">2.3","m","trafford"
"other",">2.3","m","trafford"
"other",">2.3","m","trafford"
"fish","<2.3","f","trafford"
"fish","<2.3","f","trafford"
"invert","<2.3","f","trafford"
"invert","<2.3","f","trafford"
"invert","<2.3","f","trafford"
"invert","<2.3","f","trafford"
"rep","<2.3","f","trafford"
"bird","<2.3","f","trafford"
"other","<2.3","f","trafford"
"other","<2.3","f","trafford"
"other","<2.3","f","trafford"
"other","<2.3","f","trafford"
"invert",">2.3","f","trafford"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"fish","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"invert","<2.3","m","george"
"bird","<2.3","m","george"
"bird","<2.3","m","george"
"other","<2.3","m","george"
"other","<2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"fish",">2.3","m","george"
"bird",">2.3","m","george"
"other",">2.3","m","george"
"other",">2.3","m","george"
"fish","<2.3","f","george"
"fish","<2.3","f","george"
"fish","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"invert","<2.3","f","george"
"rep","<2.3","f","george"
"other","<2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"fish",">2.3","f","george"
"invert",">2.3","f","george"
"other",">2.3","f","george"
